"","x"
"948",1369.46812
"949",1369.99187
"950",1370.00745
"951",1370.24396
"952",1371.17495
"953",1371.43282
"954",1371.83512
"955",1372.24684
"956",1373.11416
"957",1373.87577
"958",1374.41836
"959",1374.68262
"960",1375.08824
"961",1376.20528
"962",1377.68562
"963",1378.33984
"964",1378.33984
"965",1378.46257
"966",1378.46257
"967",1380.10155
"968",1380.86519
"969",1380.86519
"970",1380.89267
"971",1380.89501
"972",1381.26818
"973",1381.91719
"974",1381.91719
"975",1381.91719
"976",1381.91719
"977",1384.20076
"978",1384.34343
"979",1384.4861
"980",1384.67815
"981",1386.33059
"982",1386.52626
"983",1386.57027
"984",1387.6503
"985",1387.6503
"986",1387.85527
"987",1387.98019
"988",1388.07689
"989",1388.63136
"990",1389.42282
"991",1390.98897
"992",1391.53023
"993",1391.53023
"994",1391.6039
"995",1391.6039
"996",1391.75802
"997",1391.85982
"998",1391.85982
"999",1391.85982
"1000",1391.85982
"1001",1392.09217
"1002",1392.2305
"1003",1392.5416
"1004",1393.00544
"1005",1393.23007
"1006",1393.29623
"1007",1393.5044
"1008",1394.00174
"1009",1394.06801
"1010",1394.08109
"1011",1394.56163
"1012",1394.71332
"1013",1394.8441
"1014",1396.33613
"1015",1396.40074
"1016",1396.87716
"1017",1398.97634
"1018",1399.06588
"1019",1399.50361
"1020",1400.9945
"1021",1400.9945
"1022",1401.06848
"1023",1403.387
"1024",1403.39806
"1025",1403.39806
"1026",1403.39806
"1027",1403.39806
"1028",1403.40911
"1029",1404.96266
"1030",1405.72733
"1031",1405.72733
"1032",1405.72733
"1033",1405.73843
"1034",1406.37315
"1035",1406.43108
"1036",1406.98309
"1037",1407.58996
"1038",1407.58996
"1039",1407.59572
"1040",1408.04047
"1041",1408.04346
"1042",1408.04346
"1043",1408.05667
"1044",1408.15052
"1045",1409.22167
"1046",1409.93685
"1047",1409.94754
"1048",1410.2602
"1049",1410.37192
"1050",1411.23994
"1051",1412.03037
"1052",1412.03037
"1053",1412.03037
"1054",1412.53113
"1055",1412.70036
"1056",1414.24629
"1057",1414.24629
"1058",1418.07908
"1059",1418.07908
"1060",1418.07908
"1061",1418.43857
"1062",1418.9384
"1063",1420.4814
"1064",1420.5657
"1065",1422.80172
"1066",1423.08776
"1067",1424.35484
"1068",1428.24587
"1069",1430.18017
"1070",1430.58283
"1071",1439.93273
"1072",1441.36153
"1073",1441.4391
"1074",1442.99656
"1075",1446.99371
"1076",1448.48865
"1077",1450.31845
"1078",1451.47273
"1079",1453.25275
"1080",1453.25275
"1081",1454.07984
"1082",1454.59039
"1083",1454.96556
"1084",1456.96975
"1085",1457.74728
"1086",1457.74728
"1087",1458.52249
"1088",1458.57031
"1089",1459.2465
"1090",1459.45488
"1091",1460.07498
"1092",1460.27782
"1093",1460.84894
"1094",1460.89617
"1095",1460.9434
"1096",1461.21576
"1097",1461.36841
"1098",1461.36841
"1099",1461.36841
"1100",1461.36841
"1101",1461.36841
"1102",1461.36841
"1103",1461.57977
"1104",1461.57977
"1105",1461.57977
"1106",1461.57977
"1107",1461.57977
"1108",1461.57977
