"","x"
"604",1158.43807
"605",1158.56266
"606",1161.53928
"607",1162.83292
"608",1163.10599
"609",1163.78242
"610",1163.88198
"611",1164.10233
"612",1164.87747
"613",1164.90092
"614",1165.90146
"615",1166.30115
"616",1166.94789
"617",1166.98404
"618",1167.98043
"619",1169.29008
"620",1170.33965
"621",1170.33965
"622",1170.33965
"623",1171.86067
"624",1172.10605
"625",1173.87666
"626",1179.8246
"627",1182.58644
"628",1182.58644
"629",1182.97403
"630",1182.97403
"631",1182.97403
"632",1183.7811
"633",1184.33211
"634",1184.52678
"635",1186.30309
"636",1189.99254
"637",1192.10531
"638",1192.10968
"639",1194.43744
"640",1194.87689
"641",1194.87689
"642",1197.49235
"643",1197.59993
"644",1198.98304
"645",1199.8776
"646",1200.25612
"647",1201.9829
"648",1202.24161
"649",1202.63512
"650",1206.81232
"651",1206.81232
"652",1206.81232
"653",1207.3238
"654",1208.63896
"655",1208.69145
"656",1209.6169
"657",1213.55131
"658",1215.76331
"659",1215.86075
"660",1216.54059
"661",1216.97667
"662",1217.26629
"663",1217.41347
"664",1219.30903
"665",1219.30903
"666",1219.30903
"667",1219.30903
"668",1219.30903
"669",1219.30903
"670",1219.37577
"671",1219.37577
"672",1219.45976
"673",1219.45976
"674",1219.54374
"675",1219.59195
"676",1219.59195
"677",1219.59195
"678",1219.59195
"679",1219.59195
"680",1219.59195
"681",1219.59195
"682",1219.59195
"683",1219.59195
"684",1219.70319
"685",1219.76623
"686",1220.08651
"687",1220.08651
"688",1220.08651
"689",1220.08651
"690",1220.08651
"691",1220.08651
"692",1220.08651
"693",1220.08651
"694",1220.15413
"695",1220.31898
"696",1220.9314
"697",1221.01332
"698",1222.41871
"699",1222.41871
"700",1222.73977
"701",1223.00117
"702",1223.97326
"703",1224.05114
"704",1224.75096
"705",1225.64916
"706",1225.74845
"707",1225.83974
"708",1225.96954
"709",1225.96954
"710",1226.10956
"711",1226.6282
"712",1227.08181
"713",1228.89478
"714",1230.18971
"715",1234.1501
"716",1234.25846
"717",1234.27522
"718",1234.7283
"719",1234.85305
"720",1237.31592
"721",1237.46793
"722",1237.95973
"723",1239.56873
"724",1239.69012
"725",1240.2161
"726",1240.86948
"727",1241.19395
"728",1241.91721
"729",1241.91721
"730",1242.01824
"731",1242.33257
"732",1243.27454
"733",1243.44718
"734",1243.52136
"735",1244.17223
"736",1244.52148
"737",1245.22178
"738",1245.77332
"739",1245.79962
"740",1245.84769
"741",1246.16888
"742",1246.94632
"743",1247.20373
"744",1247.27824
"745",1247.27824
"746",1248.05523
"747",1249.41455
"748",1250.94875
"749",1251.02365
"750",1252.7142
"751",1254.4728
"752",1254.71565
"753",1255.91199
"754",1257.29756
"755",1257.44935
"756",1258.14955
"757",1259.06623
"758",1260.47994
"759",1260.50965
"760",1260.5863
"761",1260.61601
"762",1261.25609
"763",1261.39045
"764",1262.37398
"765",1262.91345
"766",1263.71583
"767",1263.77574
"768",1264.17267
"769",1264.36304
"770",1267.56844
"771",1267.56844
"772",1267.65254
"773",1268.48975
"774",1268.48975
"775",1268.71706
"776",1269.02188
"777",1269.02188
"778",1269.02188
"779",1270.13637
"780",1271.05074
"781",1271.16167
"782",1271.42926
"783",1271.51091
"784",1272.0493
"785",1272.0493
"786",1272.98205
"787",1272.98205
"788",1273.07831
"789",1273.78772
"790",1274.89194
"791",1274.93569
"792",1275.66914
"793",1276.11079
"794",1276.24681
"795",1276.44534
"796",1276.78514
"797",1276.87501
"798",1278.04333
"799",1280.22754
"800",1280.47963
"801",1280.6654
"802",1281.10538
