"X064.EPL15_f_Mzb1_ESI.mzML";"X064.EPL16_f_Mzb1_ESI.mzML";"X064.EPL34_f_Mzb1_ESI.mzML";"X64Z.61026_f_WT_ESI.mzML";"X64Z.61027_f_WT_ESI.mzML";"X64Z.61028_f_WT_ESI.mzML"
"M114.09145T288.21099";0.723411378542811;-0.748892963559886;-0.48014670904678;0.509380996736625;0.377515469563546;-0.381268172236334
"M115.05436T233.16007";0.654112097682846;-0.409528408263978;-0.592056342864758;0.171780615059289;0.31313049082722;-0.137438452440618
"M115.03914T122.94793";0.335931356538187;-0.324261650326135;-0.848852818282273;0.786632176523602;0.115286378569034;-0.0647354430224032
"M115.11186T814.08307";0.931432040980647;-0.605240591505384;0.158181534894635;0.384319438972227;-0.0575252325705366;-0.811167190771577
"M115.09461T199.19294";0.931300743067164;0.962249702338058;0.799461141039018;0.15360870166344;-1.99817140423015;-0.848448883877524
"M115.95960T244.63234";1.27589041510694;-1.83368764405924;0.362412636129956;0.571412168734145;-1.19514556357905;0.819117987667248
"M115.95966T117.44153";0.754598089123959;-0.307058504301712;-0.726237042987233;0.83184540527865;0.128400286858054;-0.681548233971719
"M116.10709T463.93240";0.528863034770371;-0.345863502181743;-0.791502205433437;0.205733918826502;0.205733918826502;0.197034835191783
"M117.05783T233.16007";0.734581671634163;-0.362292235579201;-0.413207242213525;0.0669351759215435;0.133784585016747;-0.159801954779736
"M117.10229T255.61112";0.672029569487619;-1.27989267819314;-0.7908895484185;1.08048361513184;0.615451416853464;-0.297182374861287
"M118.06563T233.16007";0.595952810583345;-0.328877805677026;-0.498270821303149;0.475096696400337;0.0849769256735185;-0.328877805677026
"M118.06547T519.91838";-0.199540259544449;-0.781042568967238;0.150144493548731;0.468901062404425;0.394640166908734;-0.0331028943502177
"M118.08632T323.76813";0.799182342507336;-0.950012370592704;-0.716228855842015;0.380564005786522;0.639531985449396;-0.153037107308526
"M118.08633T427.21229";0.434665235528119;-0.349151508985697;-0.329591654491925;0.538701730357906;0.538701730357906;-0.833325532766328
"M118.08625T856.69851";0.987047809722708;-1.12692651235631;0.335491900398204;0.68009385448908;-0.49975439679822;-0.375952655455463
"M118.08633T180.29329";0.388444441525985;1.04722549052097;-0.692669499206893;0.0302028548893613;-0.516973480207741;-0.256229807521696
"M118.08626T541.21397";0.158847554031469;0.328555550679957;-0.178032832522989;0.231087609014838;0.529365848129649;-1.06982372933291
"M119.06853T233.01734";0.716580288942633;-0.156233848967549;-0.538884904670261;0.147087741245384;0.176273463577984;-0.344822740128175
"M119.07249T163.82899";-0.509114962994204;1.64991360002505;-0.282767501507242;-0.092941162909154;-0.124477135651209;-0.640612836963254
"M119.08709T890.30642";1.28304710608312;0.587006910510265;1.02001157308412;-2.74941737125268;0.503687156946765;-0.644335375371585
"M120.08112T297.53706";-0.395024180607915;-0.634409278039307;0.265145165570801;0.74602337028927;0.635156030843494;-0.616891108056355
"M120.08111T164.78135";-0.463631170010007;-0.567561648149346;0.196417909526641;0.361216678171862;0.361216678171862;0.112341552288997
"M121.05008T863.64475";-0.789439122012348;0.222047632709498;-0.916444105526271;0.755043787936183;0.865791810883002;-0.137000003990076
"M121.06247T921.87597";-0.710743389094004;-0.0493148760215138;-3.24049289611402;1.10727037121664;1.4790489440671;1.41423184594581
"M121.08419T297.53852";0.171760734019332;-0.0625360222826084;0.609908579308861;0.894095964832748;0.250067783193512;-1.86329703907184
