"X064.EPL03_m_Mzb1_ESI.mzML";"X064.EPL05_m_Mzb1_ESI.mzML";"X064.EPL07_f_Mzb1_ESI.mzML";"X64Z.61018_m_WT_ESI.mzML";"X64Z.61019_m_WT_ESI.mzML";"X64Z.61020_m_WT_ESI.mzML"
"M119.07275T164.88007";-0.328202520140049;0.044898430019991;-0.42277414432695;0.79444740643816;0.344067922120146;-0.432437094111319
"M119.06850T233.30313";-0.0783340274214317;0.2098944330555;0.326825108160465;0.364964643875304;-0.0356556892776997;-0.787694468392129
"M120.03196T130.15795";2.39617078428988;-1.36890406638613;1.90056463095826;-0.904168606635034;-1.2279121608827;-0.795750581344275
"M120.08107T299.08995";0.263912596284009;-0.0201563243168616;-0.426231575736743;0.626515614646086;0.37129815497422;-0.815338465850723
"M120.08114T164.88007";-0.0106410727537273;0.156569082562196;-0.057237512744215;0.63424810393953;-0.057237512744215;-0.665701088259552
"M121.03884T835.51095";2.14302707812255;-1.59115846634285;-2.75508680482279;1.530095833307;1.79938433991772;-1.12626198018163
"M121.08415T299.06926";0.195848269673874;-0.354282866435975;-0.305281220987582;0.417391646680354;0.745065165046532;-0.698740993977196
"M121.08420T164.88007";-0.0271124342945251;0.11087430809829;-0.388572123212623;0.870237098308859;0.0472843788892381;-0.612711227789247
"M122.02368T127.63099";-1.42752665008402;0.84247079319579;-1.37890235490524;1.15263040177348;0.968909871310296;-0.157582061290312
"M122.06004T493.18695";-0.0979406958677918;0.773434057357325;-0.848457086256814;0.992530537963638;-0.805901551829334;-0.0136652613670169
"M123.05590T147.38881";-1.02642186064161;0.576158273897567;-0.29890253924299;0.87959328739987;0.168475377830172;-0.29890253924299
"M123.04432T583.82614";-1.49415991974968;1.03296088689919;0.397589146015396;0.181479531410474;0.125867455710135;-0.243737100285503
"M123.04457T1065.10006";-1.07368085400222;0.0326556680117776;0.837042469438452;-1.44308972976086;0.730609187036473;0.916463259276381
"M123.04500T482.27155";-2.68957922262531;1.39009483461653;0.404713054311069;0.682180562468986;-0.0736195180114849;0.286210289240215
"M124.04294T215.98831";-0.0636285078531413;1.04450415112833;0.573314399557064;-0.355240527420718;-1.14015461868805;-0.0587948967234873
"M124.08687T864.04149";0.0133200335329534;-1.72912932273942;1.41611790331423;-0.673950386515797;-0.303462888263533;1.27710466067155
"M124.11085T759.14601";0.872971512145672;0.955316753848168;-1.3029018040695;-0.378171846203048;0.743421490377518;-0.890636106098811
"M124.05902T147.03924";-1.06413383536506;0.678705149815948;-0.567369026183064;1.02102521134363;0.223813266477636;-0.292040766089074
"M125.09406T614.26989";0.225229219125556;0.722661143219103;-0.977522058786564;-0.178329836727205;-0.206810306976986;0.414771840146098
"M125.06452T147.04706";-1.04369821192581;0.799319171551389;-0.603529229308419;0.797625765914016;0.255367674937036;-0.205085171168205
"M125.07100T871.16402";-0.6402763798726;0.523850505532771;-0.820603280705126;0.644726529377602;-1.1179949899698;1.41029761563715
"M126.10235T333.17247";-0.719594490016206;-0.490612736419877;-0.448449202598709;0.965186517425803;-0.382064605009564;1.07553451661856
"M126.06651T152.17870";-0.653867043031118;0.332319241008691;-0.376694832676878;0.672126643623524;0.205483455677467;-0.179367464601694
"M127.01560T889.16863";-1.33308612281704;0.748994204330415;-0.455231054972885;1.10315264757053;-1.72856295729562;1.66473328318459
"M127.05066T192.97151";-0.60544470385527;-0.193726190254651;0.410872283155247;0.326552640319277;0.161933212319677;-0.100187241684299
"M127.03911T95.46918";0.87169388134052;0.422161721473478;0.747732270074847;-0.130507656819805;-1.03096074701433;-0.880119469054706
"M127.11199T464.75942";-1.06001136661884;0.393820405546132;0.281207645063223;0.199366525398878;0.434511853379254;-0.248895062768656
"M127.06996T152.04062";-0.376857586018573;0.0133832770323477;-0.300329538047659;0.734819603288337;0.0633560096199885;-0.134371765874445
"M128.10706T406.98735";0.789714185728495;0.47775782439043;-0.994117203160709;0.508464762504415;-0.563970446371362;-0.217849123091263
"M128.05386T193.14926";-0.639438500255477;-0.361155833558073;0.653707057189929;0.177319280806215;-0.140606347373596;0.310174343191017
"M129.01854T1132.39198";-0.479657753901756;-0.29664012256544;0.443581414548854;0.358769366562049;-0.27890274400636;0.252849839362657
"M129.06608T116.57286";1.78828435919383;-1.40094238112168;2.05478342458277;-0.585594999737473;-1.52793463964847;-0.328595763268965
"M130.06564T712.40140";-0.342325994556565;0.12688737491349;1.9930199634921;0.111189863117024;-1.19515992634631;-0.693611280619753
"M130.06567T420.55974";-0.0670263831841927;0.7436577387802;0.772744024615784;0.14472355146422;-0.762300232055791;-0.831798699620231
