"X064.EPK83_m_Mzb1_ESI.mzML";"X064.EPK88_m_Mzb1_ESI.mzML";"X064.EPK94_m_Mzb1_ESI.mzML";"X64Z.61012_m_WT_ESI.mzML";"X64Z.61014_m_WT_ESI.mzML";"X64Z.61015_m_WT_ESI.mzML"
"M114.09139T199.55895";-0.179691750317394;0.839168615400647;-0.244471285903612;1.09691161968869;0.528116776258914;-2.04003397512724
"M115.03908T123.77715";0.233596053088631;0.457282545016539;-0.147519238676005;0.112957463310491;0.208218439809486;-0.864535262549142
"M115.05437T233.82630";-0.48233510983436;0.509339610329086;-0.225157227274995;0.201945797371218;0.270363689376089;-0.274156759967019
"M115.13112T594.49936";-0.197991126126177;-0.0642050431737185;0.931727267165425;-0.575071639163058;-0.175630374267791;0.0811709155653168
"M115.11184T814.38609";0.114159117924847;0.259850677883737;-0.81565637770979;0.644633049935185;0.199663997148624;-0.402650465182589
"M115.95968T121.48572";1.6726604966697;-0.807847763314245;-0.796430324867619;0.323871399600598;-0.135024034723858;-0.257229773364585
"M116.10717T464.01154";-0.119997474029008;0.185365643893494;-0.724857211272519;0.685011533666163;0.110788030578075;-0.136310522836228
"M116.05804T233.75434";-0.61715876582717;0.375108764561323;0.0289929166220153;0.169954285506543;0.468605975033939;-0.42550317589665
"M117.05784T233.82973";-0.582303854823357;0.509990089443211;-0.0359911633349276;0.135196408283026;0.194485642048868;-0.221377121616849
"M118.08632T237.69959";-0.866200147133492;-0.421134895101149;-0.627058152766019;1.22287295711775;1.42703412954757;-0.735513891664661
"M118.08634T356.72862";-1.0226019446003;-0.22882228375354;0.856565429872829;0.227512549109589;0.414437849173991;-0.247091599802565
"M118.08635T152.48462";0.707197664536681;-0.312667325638923;-1.54160457335011;1.05818042582881;-0.809530903506522;0.898424712130067
"M118.08630T509.18170";0.0616897511552832;0.574816149590045;-0.392393291969137;-0.0170896424813866;-0.725622685239015;0.498599718944196
"M118.08633T738.89146";1.09354792898697;-1.05360321796616;0.0880051278618161;-0.210649644749696;0.0223667009038752;0.0603331049631989
"M118.08632T611.30959";-0.435354171481802;1.27505211344717;-0.0752390666195701;-0.179501782968084;-0.46035615310036;-0.124600939277363
"M119.03526T229.34387";0.676616792931569;-0.1751719222226;0.793181392534575;0.812470688937634;-1.3758351605209;-0.731261791660266
"M119.03529T140.96912";-1.69075957535259;0.730635659333991;-0.00584942128746999;-0.380983350436932;0.912545081902024;0.434411605840973
"M119.06854T233.82640";-0.547645791313065;0.557033846374452;-0.141390343572077;0.0623991783872581;0.304626476552676;-0.235023366429226
"M119.07279T165.26997";-0.491617355123714;0.196936738376537;-0.131441053294714;0.0686650256989432;0.42266043543364;-0.0652037910906927
"M120.08107T300.78377";-0.639340631866939;-0.190929012793251;-0.13892759313669;-0.204672959498299;0.478571148458105;0.695299048837079
"M120.08108T165.14287";0.0660377520187436;-0.619082412934745;-0.0591257359566167;0.368309317150961;0.368309317150961;-0.124448237429294
"M120.08121T224.53242";0.331721226859563;0.613553356228596;-0.7181398013855;-0.873120512418566;0.383435644446366;0.262550086269541
"M121.08416T165.41474";0.584241814708429;0.624645450523382;0.697706413301691;0.663166671505737;0.724194498804389;-3.29395484884363
"M121.08413T300.37788";-0.550048785263572;-0.283532600552814;-0.334445368396873;-0.0612496195504975;0.643253295806279;0.58602307795747
"M121.06154T829.52661";0.923820847715102;-3.77013795471378;1.0178455202389;0.855372862976726;-0.336052839936035;1.30915156371909
"M122.06004T494.15397";-1.02973899540381;0.231793542448716;0.609951568634881;-0.723098522384648;0.313220211067867;0.597872195636993
"M123.04439T585.19412";0.291122992473283;1.34830532916304;-0.602246243782508;0.296722387421505;-0.467486185427061;-0.866418279848255
"M123.04416T868.22104";-0.675221650206163;0.341571264553454;0.229684487861655;0.43547299388948;-0.236917529850056;-0.0945895662483454
"M123.04468T1064.93106";-0.783230813672242;1.12794941684471;-0.937485864914431;0.258394079091418;0.397997119549465;-0.0636239368989104
"M123.04494T483.74484";0.587423239025938;1.38940686054503;-1.11325794016272;0.632289743111003;-0.333786409786103;-1.16207549273315
"M123.05596T147.58883";0.174782573853165;-0.266780762707353;-0.266780762707353;0.566389791849428;-0.103805420143933;-0.103805420143933
"M124.04291T216.00647";-0.963046343344879;0.241146240391787;0.321796078107393;1.18451161328943;0.427896516312035;-1.21230410475577
"M124.05910T147.28847";-0.272742050068153;0.0557125433663783;0.00923157893659338;0.598415926935922;-0.370776819392853;-0.019841179777908
"M124.11146T759.40777";0.712588200222558;-1.64258164912488;0.490535374693005;-0.0898490358268428;-0.141070196632159;0.670377306668307
"M124.11198T244.66620";-0.388891576322864;-0.227976105476658;-0.0156864753974673;-0.510302593082048;-0.197283879946139;1.34014063022517
"M125.09428T614.47986";0.542169199375332;-0.472560325103353;-0.101923877534189;-0.285998179821534;-0.337044293860024;0.655357476943761
"M125.06376T147.28847";-0.517183346787682;0.101865381188936;-0.201589876232445;0.634467762145101;0.127413411293241;-0.144973331607132
"M126.09773T355.47841";1.80398499879381;0.446805878844603;0.446805878844603;0.60754850019769;0.527810992400658;-3.83295624908137
"M126.06651T152.86196";-0.701650387778445;-0.130271685104072;0.415970471755201;-0.0591457140148972;-0.0231474468113416;0.498244761953554
"M127.05058T193.44230";-0.370985587470588;-0.370985587470588;0.106016505763352;0.702549083113556;-0.150025821666433;0.0834314077306931
"M127.07000T152.71730";-0.593443876823001;-0.328872826837408;0.785373531089595;-0.131017970151269;-0.0719837406555478;0.339944883377631
"M128.10695T407.39514";-0.534852729803392;0.527043985759041;-0.481537758483358;0.278543704802665;0.627282094224373;-0.416479296499322
"M128.05376T193.53389";-0.443457918008223;-0.487572996572113;0.0718262741055491;0.780825209141857;0.0327458319494714;0.0456335993834385
"M129.01854T1131.53040";-0.50817050137123;0.473282617070623;0.256984588644262;-0.48771349716196;0.484495752378346;-0.218878959560037
"M129.10191T1177.37590";-0.36686169852306;1.16901916220853;-0.377310765753505;0.104047256174492;-0.00209919094199915;-0.526794763164458
"M130.06564T420.95160";-0.540233439845026;0.797319983414022;-0.797572530733551;0.901981001564337;-0.0434741302919757;-0.318020884107797
"M130.06556T712.18863";-1.93076434904695;0.616766504509383;0.435593826014948;1.0087762823482;0.662289099386033;-0.792661363211627
"M131.04971T417.02156";0.669084308299309;0.785611542185923;-1.20443342512346;0.218273106694531;0.323028120894429;-0.791563652950721
"M131.04921T165.41474";-0.455236706835625;0.0685214762680209;0.0495866507391336;0.181512035336806;0.491470916583568;-0.335854372091914
"M131.06879T712.20878";-2.03830899709804;0.676529312627841;0.402406397287167;1.01463727745628;0.720412353567663;-0.775676343840904
"M131.06823T421.33926";-0.507505506956051;0.699348626697678;-0.967799025152823;1.00119058635563;0.0461922160864648;-0.271426897030916
"M132.07742T119.23625";1.17355560295011;1.33773014707642;-1.53942756295367;-1.35102101007796;1.39587773904996;-1.01671491604486
"M132.08117T233.99590";-0.596789337144952;0.423679996690205;-0.0638893796603216;0.119979238132513;0.35039454614036;-0.233375064157814
"M132.05281T417.02156";0.585877788979928;0.797952239184719;-1.29024597555153;0.274941746534854;0.389768202927827;-0.758294002075806
"M132.08099T340.69587";-0.7646991837264;0.405625524386331;-0.406259514487874;0.978005249979897;-0.47273480154794;0.260062725395991
"M133.08601T219.72220";0.374991293826259;0.939978281648383;-0.295905656823541;-0.0514123327182406;-0.326156453295975;-0.641495132636885
